home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
Southampton,Fulham,2,0,12,9,0.4,0.6
Crystal Palace,Manchester United,1,3,14,10,0.45,0.55
Chelsea,Tottenham Hotspur,2,0,10,6,0.46,0.54
Liverpool,Watford,5,0,15,5,0.61,0.39
Manchester City,West Ham United,1,0,18,3,0.75,0.25
Tottenham Hotspur,Arsenal,1,1,11,7,0.6,0.4
AFC Bournemouth,Manchester City,0,1,0,18,0.18,0.82
Brighton & Hove Albion,Huddersfield Town,1,0,11,5,0.52,0.48
Burnley,Crystal Palace,1,3,15,9,0.56,0.44
Manchester United,Southampton,3,2,16,8,0.64,0.36
Wolverhampton Wanderers,Cardiff City,2,0,12,9,0.56,0.44
West Ham United,Newcastle United,2,0,8,9,0.55,0.45
Watford,Leicester City,2,1,6,9,0.39,0.61
Fulham,Chelsea,1,2,10,13,0.36,0.64
Everton,Liverpool,0,0,7,7,0.42,0.58
Crystal Palace,Brighton & Hove Albion,1,2,9,5,0.62,0.38
Cardiff City,West Ham United,2,0,14,8,0.29,0.71
Huddersfield Town,AFC Bournemouth,0,2,5,9,0.56,0.44
Leicester City,Fulham,3,1,17,5,0.52,0.48
Newcastle United,Everton,3,2,15,6,0.45,0.55
Southampton,Tottenham Hotspur,2,1,9,15,0.36,0.64
Manchester City,Watford,3,1,17,2,0.71,0.29
Liverpool,Burnley,4,2,14,3,0.68,0.32
Chelsea,Wolverhampton Wanderers,1,1,9,3,0.75,0.25
Arsenal,Manchester United,2,0,11,12,0.46,0.54
AFC Bournemouth,Newcastle United,2,2,11,9,0.48,0.52
Burnley,Leicester City,1,2,10,5,0.62,0.38
West Ham United,Huddersfield Town,4,3,11,12,0.64,0.36
Fulham,Liverpool,1,2,5,14,0.37,0.63
Everton,Chelsea,2,0,13,11,0.32,0.68
Fulham,Manchester City,0,2,4,16,0.34,0.66
Brighton & Hove Albion,Southampton,0,1,11,7,0.6,0.4
Burnley,Wolverhampton Wanderers,2,0,5,5,0.37,0.63
Crystal Palace,Huddersfield Town,2,0,12,13,0.48,0.52
Leicester City,AFC Bournemouth,2,0,14,7,0.58,0.42
Manchester United,Watford,2,1,7,15,0.51,0.49
West Ham United,Everton,0,2,4,14,0.49,0.51
Cardiff City,Chelsea,1,2,8,13,0.28,0.72
Liverpool,Tottenham Hotspur,2,1,12,10,0.48,0.52
Arsenal,Newcastle United,2,0,6,4,0.7,0.3
Watford,Fulham,4,1,9,11,0.46,0.54
Wolverhampton Wanderers,Manchester United,2,1,8,12,0.49,0.51
Chelsea,Brighton & Hove Albion,3,0,13,4,0.68,0.32
Tottenham Hotspur,Crystal Palace,2,0,20,6,0.65,0.35
Manchester City,Cardiff City,2,0,26,4,0.78,0.22
Southampton,Liverpool,1,3,8,13,0.33,0.67
AFC Bournemouth,Burnley,1,3,8,8,0.59,0.41
Huddersfield Town,Leicester City,1,4,8,17,0.44,0.56
Newcastle United,Crystal Palace,0,1,15,4,0.53,0.47
Everton,Arsenal,1,0,16,6,0.42,0.58
Chelsea,West Ham United,2,0,14,6,0.54,0.46
Leicester City,Newcastle United,0,1,12,11,0.71,0.29
Tottenham Hotspur,Huddersfield Town,4,0,14,7,0.7,0.3
Brighton & Hove Albion,AFC Bournemouth,0,5,5,12,0.5,0.5
Burnley,Cardiff City,2,0,14,10,0.46,0.54
Fulham,Everton,2,0,13,8,0.4,0.6
Southampton,Wolverhampton Wanderers,3,1,11,11,0.3,0.7
Manchester United,West Ham United,2,1,10,11,0.42,0.58
Crystal Palace,Manchester City,1,3,6,14,0.27,0.73
Liverpool,Chelsea,2,0,11,6,0.61,0.39
Watford,Arsenal,0,1,7,12,0.34,0.66
Brighton & Hove Albion,Cardiff City,0,2,11,7,0.63,0.37
Manchester City,Tottenham Hotspur,1,0,11,8,0.6,0.4
AFC Bournemouth,Fulham,0,1,12,12,0.49,0.51
Huddersfield Town,Watford,1,2,9,11,0.45,0.55
West Ham United,Leicester City,2,2,9,11,0.49,0.51
Wolverhampton Wanderers,Brighton & Hove Albion,0,0,20,5,0.68,0.32
Newcastle United,Southampton,3,1,11,11,0.43,0.57
Everton,Manchester United,4,0,12,7,0.48,0.52
Arsenal,Crystal Palace,2,3,11,13,0.72,0.28
Cardiff City,Liverpool,0,2,5,15,0.23,0.77
Chelsea,Burnley,2,2,18,6,0.76,0.24
Watford,Southampton,1,1,8,8,0.62,0.38
Tottenham Hotspur,Brighton & Hove Albion,1,0,18,6,0.78,0.22
Wolverhampton Wanderers,Arsenal,3,1,9,6,0.29,0.71
Manchester United,Manchester City,0,2,8,9,0.36,0.64
Liverpool,Huddersfield Town,5,0,20,4,0.7,0.3
Tottenham Hotspur,West Ham United,0,1,9,13,0.63,0.37
Crystal Palace,Everton,0,0,6,12,0.36,0.64
Fulham,Cardiff City,1,0,8,11,0.73,0.27
Southampton,AFC Bournemouth,3,3,17,10,0.44,0.56
Watford,Wolverhampton Wanderers,1,2,7,8,0.56,0.44
Brighton & Hove Albion,Newcastle United,1,1,8,5,0.49,0.51
Leicester City,Arsenal,3,0,19,5,0.67,0.33
Burnley,Manchester City,0,1,3,12,0.3,0.7
Manchester United,Chelsea,1,1,8,11,0.51,0.49
Everton,Burnley,2,0,16,6,0.6,0.4
AFC Bournemouth,Tottenham Hotspur,1,0,14,9,0.53,0.47
West Ham United,Southampton,3,0,13,5,0.56,0.44
Wolverhampton Wanderers,Fulham,1,0,16,6,0.39,0.61
Cardiff City,Crystal Palace,2,3,15,15,0.39,0.61
Newcastle United,Liverpool,2,3,11,11,0.3,0.7
Chelsea,Watford,3,0,16,14,0.58,0.42
Huddersfield Town,Manchester United,1,1,6,17,0.35,0.65
Arsenal,Brighton & Hove Albion,1,1,14,10,0.7,0.3
Manchester City,Leicester City,1,0,16,5,0.61,0.39
Brighton & Hove Albion,Manchester City,1,4,6,13,0.23,0.77
Burnley,Arsenal,1,3,12,11,0.39,0.61
Crystal Palace,AFC Bournemouth,5,3,16,15,0.45,0.55
Fulham,Newcastle United,0,4,11,13,0.68,0.32
Leicester City,Chelsea,0,0,8,12,0.46,0.54
Liverpool,Wolverhampton Wanderers,2,0,11,7,0.59,0.41
Manchester United,Cardiff City,0,2,21,11,0.73,0.27
Southampton,Huddersfield Town,1,1,7,8,0.53,0.47
Tottenham Hotspur,Everton,2,2,9,13,0.55,0.45
Watford,West Ham United,1,4,11,15,0.48,0.52
